Node Name  Event Type  Timestamp        Packet Type  Pkt. No  Seq. No  Source  Dest  
CLIENT     S           11:38:53.787431  DATA         1        0        CLIENT  RELAY2
CLIENT     S           11:38:53.787816  DATA         2        100      CLIENT  RELAY1
CLIENT     S           11:38:53.788167  DATA         3        200      CLIENT  RELAY2
CLIENT     TO          11:38:55.790569  DATA         1        0        CLIENT  RELAY2
CLIENT     RE          11:38:55.791319  DATA         1        0        CLIENT  RELAY2
CLIENT     TO          11:38:55.792446  DATA         3        200      CLIENT  RELAY2
CLIENT     RE          11:38:55.792878  DATA         3        200      CLIENT  RELAY2
CLIENT     TO          11:38:55.793861  DATA         2        100      CLIENT  RELAY1
CLIENT     RE          11:38:55.794185  DATA         2        100      CLIENT  RELAY1
CLIENT     TO          11:38:57.791981  DATA         1        0        CLIENT  RELAY2
CLIENT     RE          11:38:57.792985  DATA         1        0        CLIENT  RELAY2
CLIENT     TO          11:38:57.793975  DATA         3        200      CLIENT  RELAY2
CLIENT     RE          11:38:57.794393  DATA         3        200      CLIENT  RELAY2
CLIENT     TO          11:38:57.795339  DATA         2        100      CLIENT  RELAY1
CLIENT     RE          11:38:57.795746  DATA         2        100      CLIENT  RELAY1
CLIENT     TO          11:38:59.793978  DATA         1        0        CLIENT  RELAY2
CLIENT     RE          11:38:59.795032  DATA         1        0        CLIENT  RELAY2
CLIENT     TO          11:38:59.795904  DATA         3        200      CLIENT  RELAY2
CLIENT     RE          11:38:59.796289  DATA         3        200      CLIENT  RELAY2
CLIENT     TO          11:38:59.797141  DATA         2        100      CLIENT  RELAY1
CLIENT     RE          11:38:59.797617  DATA         2        100      CLIENT  RELAY1
RELAY1     R           11:38:59.797716  DATA         2        100      CLIENT  RELAY1
RELAY1     S           11:38:59.798689  DATA         2        100      RELAY1  SERVER
SERVER     R           11:38:59.798784  DATA         2        100      RELAY1  SERVER
RELAY1     R           11:38:59.799328  ACK          2        100      SERVER  RELAY1
SERVER     S           11:38:59.799331  ACK          2        100      SERVER  RELAY1
RELAY1     S           11:38:59.800026  ACK          2        100      RELAY1  CLIENT
CLIENT     R           11:38:59.800079  ACK          2        100      RELAY1  CLIENT
CLIENT     TO          11:39:01.797573  DATA         1        0        CLIENT  RELAY2
CLIENT     RE          11:39:01.798529  DATA         1        0        CLIENT  RELAY2
CLIENT     TO          11:39:01.799506  DATA         3        200      CLIENT  RELAY2
CLIENT     RE          11:39:01.799936  DATA         3        200      CLIENT  RELAY2
CLIENT     TO          11:39:03.800970  DATA         1        0        CLIENT  RELAY2
CLIENT     RE          11:39:03.801551  DATA         1        0        CLIENT  RELAY2
RELAY2     R           11:39:03.801702  DATA         1        0        CLIENT  RELAY2
CLIENT     TO          11:39:03.802438  DATA         3        200      CLIENT  RELAY2
CLIENT     RE          11:39:03.802893  DATA         3        200      CLIENT  RELAY2
RELAY2     S           11:39:03.804034  DATA         1        0        RELAY2  SERVER
SERVER     R           11:39:03.804151  DATA         1        0        RELAY2  SERVER
RELAY2     R           11:39:03.804597  DATA         3        200      CLIENT  RELAY2
SERVER     S           11:39:03.804736  ACK          1        0        SERVER  RELAY2
SERVER     R           11:39:03.806570  DATA         3        200      RELAY2  SERVER
RELAY2     S           11:39:03.806574  DATA         3        200      RELAY2  SERVER
SERVER     S           11:39:03.806912  ACK          3        200      SERVER  RELAY2
RELAY2     R           11:39:03.806971  ACK          1        0        SERVER  RELAY2
RELAY2     S           11:39:03.807377  ACK          1        0        RELAY2  CLIENT
CLIENT     R           11:39:03.807433  ACK          1        0        RELAY2  CLIENT
RELAY2     R           11:39:03.807747  ACK          3        200      SERVER  RELAY2
CLIENT     S           11:39:03.807979  DATA         4        300      CLIENT  RELAY1
RELAY1     R           11:39:03.808011  DATA         4        300      CLIENT  RELAY1
RELAY2     S           11:39:03.808179  ACK          3        200      RELAY2  CLIENT
CLIENT     S           11:39:03.808583  DATA         5        400      CLIENT  RELAY2
RELAY2     R           11:39:03.809205  DATA         5        400      CLIENT  RELAY2
CLIENT     R           11:39:03.809339  ACK          3        200      RELAY2  CLIENT
CLIENT     S           11:39:03.810074  DATA         6        500      CLIENT  RELAY1
SERVER     R           11:39:03.810214  DATA         4        300      RELAY1  SERVER
RELAY1     S           11:39:03.810235  DATA         4        300      RELAY1  SERVER
SERVER     S           11:39:03.810850  ACK          4        300      SERVER  RELAY1
RELAY1     R           11:39:03.810973  DATA         6        500      CLIENT  RELAY1
RELAY2     S           11:39:03.811398  DATA         5        400      RELAY2  SERVER
SERVER     R           11:39:03.811409  DATA         5        400      RELAY2  SERVER
RELAY2     R           11:39:03.811947  ACK          5        400      SERVER  RELAY2
SERVER     S           11:39:03.811959  ACK          5        400      SERVER  RELAY2
CLIENT     R           11:39:03.812487  ACK          5        400      RELAY2  CLIENT
RELAY2     S           11:39:03.812591  ACK          5        400      RELAY2  CLIENT
SERVER     R           11:39:03.812633  DATA         6        500      RELAY1  SERVER
RELAY1     S           11:39:03.812487  DATA         6        500      RELAY1  SERVER
SERVER     S           11:39:03.813411  ACK          6        500      SERVER  RELAY1
RELAY1     R           11:39:03.813686  ACK          4        300      SERVER  RELAY1
RELAY1     S           11:39:03.814215  ACK          4        300      RELAY1  CLIENT
CLIENT     R           11:39:03.814250  ACK          4        300      RELAY1  CLIENT
RELAY1     R           11:39:03.814556  ACK          6        500      SERVER  RELAY1
CLIENT     S           11:39:03.814759  DATA         7        600      CLIENT  RELAY2
RELAY2     D           11:39:03.814882  DATA         7        600      CLIENT  RELAY2
RELAY1     S           11:39:03.814895  ACK          6        500      RELAY1  CLIENT
CLIENT     S           11:39:03.815455  DATA         8        700      CLIENT  RELAY1
RELAY1     R           11:39:03.815635  DATA         8        700      CLIENT  RELAY1
CLIENT     R           11:39:03.815819  ACK          6        500      RELAY1  CLIENT
CLIENT     S           11:39:03.816275  DATA         9        800      CLIENT  RELAY2
RELAY2     R           11:39:03.816296  DATA         9        800      CLIENT  RELAY2
RELAY1     S           11:39:03.816833  DATA         8        700      RELAY1  SERVER
SERVER     R           11:39:03.816849  DATA         8        700      RELAY1  SERVER
SERVER     S           11:39:03.817250  ACK          8        700      SERVER  RELAY1
RELAY1     R           11:39:03.817266  ACK          8        700      SERVER  RELAY1
RELAY1     S           11:39:03.817658  ACK          8        700      RELAY1  CLIENT
CLIENT     R           11:39:03.817670  ACK          8        700      RELAY1  CLIENT
SERVER     R           11:39:03.818589  DATA         9        800      RELAY2  SERVER
RELAY2     S           11:39:03.818589  DATA         9        800      RELAY2  SERVER
SERVER     S           11:39:03.819050  ACK          9        800      SERVER  RELAY2
RELAY2     R           11:39:03.819120  ACK          9        800      SERVER  RELAY2
RELAY2     S           11:39:03.819574  ACK          9        800      RELAY2  CLIENT
CLIENT     R           11:39:03.819630  ACK          9        800      RELAY2  CLIENT
CLIENT     TO          11:39:05.822246  DATA         7        600      CLIENT  RELAY2
CLIENT     RE          11:39:05.823241  DATA         7        600      CLIENT  RELAY2
RELAY2     R           11:39:05.823255  DATA         7        600      CLIENT  RELAY2
RELAY2     S           11:39:05.823969  DATA         7        600      RELAY2  SERVER
SERVER     R           11:39:05.824048  DATA         7        600      RELAY2  SERVER
RELAY2     R           11:39:05.824596  ACK          7        600      SERVER  RELAY2
SERVER     S           11:39:05.824599  ACK          7        600      SERVER  RELAY2
RELAY2     S           11:39:05.824987  ACK          7        600      RELAY2  CLIENT
CLIENT     R           11:39:05.825024  ACK          7        600      RELAY2  CLIENT
CLIENT     S           11:39:05.825496  DATA         10       900      CLIENT  RELAY1
RELAY1     R           11:39:05.825523  DATA         10       900      CLIENT  RELAY1
RELAY2     R           11:39:05.825885  DATA         11       1000     CLIENT  RELAY2
CLIENT     S           11:39:05.826058  DATA         11       1000     CLIENT  RELAY2
SERVER     R           11:39:05.826426  DATA         10       900      RELAY1  SERVER
RELAY1     S           11:39:05.826481  DATA         10       900      RELAY1  SERVER
SERVER     S           11:39:05.827070  ACK          10       900      SERVER  RELAY1
CLIENT     S           11:39:05.826666  DATA         12       1100     CLIENT  RELAY1
RELAY2     S           11:39:05.827120  DATA         11       1000     RELAY2  SERVER
RELAY1     D           11:39:05.827183  DATA         12       1100     CLIENT  RELAY1
SERVER     R           11:39:05.827750  DATA         11       1000     RELAY2  SERVER
RELAY1     R           11:39:05.828357  ACK          10       900      SERVER  RELAY1
SERVER     S           11:39:05.828573  ACK          11       1000     SERVER  RELAY2
RELAY2     R           11:39:05.828668  ACK          11       1000     SERVER  RELAY2
RELAY1     S           11:39:05.829050  ACK          10       900      RELAY1  CLIENT
CLIENT     R           11:39:05.829203  ACK          10       900      RELAY1  CLIENT
RELAY2     S           11:39:05.829623  ACK          11       1000     RELAY2  CLIENT
CLIENT     S           11:39:05.829981  DATA         13       1200     CLIENT  RELAY2
RELAY2     R           11:39:05.830213  DATA         13       1200     CLIENT  RELAY2
CLIENT     R           11:39:05.830419  ACK          11       1000     RELAY2  CLIENT
RELAY1     R           11:39:05.830982  DATA         14       1300     CLIENT  RELAY1
